EXP,WKS,OCC,IND,SOUTH,SMSA,MS,FEM,UNION,ED,BLK,LWAGE,YEAR
3,32,0,0,1,0,1,0,0,9,0,556.068,1
4,43,0,0,1,0,1,0,0,9,0,572.031,2
5,40,0,0,1,0,1,0,0,9,0,599.645,3
6,39,0,0,1,0,1,0,0,9,0,599.645,4
7,42,0,1,1,0,1,0,0,9,0,606.146,5
8,35,0,1,1,0,,0,0,9,0,617.379,6
9,32,0,1,1,0,1,0,0,9,0,624.417,7
30,34,1,0,0,0,1,0,0,11,0,616.331,1
31,27,1,0,0,0,1,0,0,11,0,621.461,2
32,33,1,1,0,0,1,0,1,11,0,626.34,3
33,30,1,1,0,0,1,0,0,11,0,654.391,4
34,30,1,1,0,0,1,0,0,11,0,669.703,5
35,37,1,1,0,0,1,0,0,11,,679.122,6
36,30,1,1,0,0,1,0,0,11,0,681.564,7
6,50,1,1,0,0,1,0,1,12,0,565.249,1
,51,1,1,0,0,1,0,1,12,0,643.615,2
8,50,1,1,0,0,1,0,1,12,0,654.822,3
9,52,1,1,0,0,1,0,1,12,0,660.259,4
10,52,1,1,0,0,1,0,1,12,0,669.58,5
11,52,1,1,0,0,0,0,1,12,0,677.878,6
12,46,1,1,0,0,0,0,1,12,0,686.066,7
31,52,1,0,0,1,0,1,0,10,1,615.698,1
32,46,1,0,0,1,0,1,0,10,1,623.832,2
33,46,1,0,0,1,0,1,0,10,1,630.079,3
34,49,1,0,0,,0,1,0,10,1,635.957,4
35,44,1,0,0,1,0,1,0,10,1,646.925,5
36,52,1,0,0,1,0,1,0,10,1,656.244,6
37,46,1,0,0,1,0,1,0,10,1,662.141,7
10,50,1,0,0,0,1,0,1,16,0,643.775,1
11,,1,0,0,0,1,0,1,16,0,662.007,2
12,40,1,0,0,0,1,0,1,16,0,663.332,3
13,50,0,0,0,0,1,0,0,16,0,698.286,4
14,47,1,0,0,1,1,0,0,16,0,704.752,5
15,47,0,0,0,0,1,0,0,16,0,731.322,6
16,49,0,0,0,0,1,0,0,16,0,729.574,7
26,44,1,1,0,1,1,0,0,12,0,690.575,1
27,47,1,1,0,1,1,0,,12,0,690.575,2
28,47,1,1,0,1,1,0,0,12,0,690.776,3
29,47,1,1,0,1,1,0,0,12,0,700.307,4
30,44,1,1,0,1,1,0,0,12,0,706.902,5
31,45,1,1,0,1,1,0,0,12,0,752.023,6
32,47,1,1,0,1,1,0,0,12,0,733.889,7
15,46,1,0,0,0,1,0,1,12,0,613.34,1
16,48,1,0,0,0,1,0,1,12,0,617.379,2
17,49,1,0,0,0,1,0,1,12,0,621.261,3
18,46,1,0,0,0,1,0,1,12,0,631.355,4
19,47,1,0,0,0,1,0,1,12,0,637.502,5
20,47,1,0,0,0,1,0,1,12,,644.572,6
21,,1,0,0,0,1,0,1,12,0,652.209,7
23,51,1,1,1,0,1,0,1,10,0,633.15,1
24,50,1,1,1,0,1,0,1,10,0,640.357,2
25,50,1,1,1,0,1,0,1,10,0,654.391,3
26,50,1,1,1,0,1,0,1,10,0,656.244,4
27,44,1,1,0,1,1,0,1,10,0,659.167,5
28,51,1,1,0,1,1,0,1,10,0,681.783,6
29,51,1,1,,1,1,0,1,10,0,689.163,7
3,50,0,0,1,1,1,0,0,16,0,655.108,1
4,48,0,0,1,1,1,0,0,16,0,655.108,2
,50,0,0,1,1,1,0,0,16,0,680.239,3
6,48,0,0,1,1,1,0,0,16,0,690.776,4
7,48,0,0,1,1,1,0,0,16,0,709.008,5
8,44,0,0,1,1,1,0,0,16,0,0,6
9,48,0,0,1,1,1,0,0,16,0,720.786,7
3,49,0,0,1,1,1,0,0,16,0,639.693,1
4,47,0,0,1,1,,0,0,16,0,643.775,2
5,46,0,0,1,1,1,0,0,,0,643.775,3
6,44,0,0,1,1,1,0,0,16,0,643.775,4
7,,0,0,1,1,1,0,0,16,0,652.209,5
8,34,0,0,1,1,1,0,0,16,0,661.338,6
9,40,0,0,1,1,1,0,0,16,0,673.934,7
24,47,1,0,0,1,0,0,1,12,0,665.801,1
25,48,1,0,0,1,0,0,1,12,0,672.623,2
26,45,1,0,0,1,0,0,1,12,0,680.239,3
27,45,1,0,0,1,1,0,1,12,0,690.776,4
28,47,1,0,0,1,1,0,1,12,0,703.966,5
29,17,1,0,0,1,1,0,1,12,0,712.769,6
30,47,,0,0,1,1,0,1,12,0,724.423,7
21,47,1,0,1,1,1,0,1,12,0,655.108,1
22,46,1,0,1,1,1,0,1,12,0,0,2
23,47,1,0,1,1,1,0,1,12,0,672.263,3
24,47,1,0,1,1,1,0,1,12,0,673.34,4
25,47,1,0,1,1,1,0,1,12,0,672.263,5
26,47,1,0,1,1,1,0,1,12,0,695.177,6
27,46,1,0,1,1,1,0,1,12,0,705.272,7
26,48,1,0,1,1,1,0,0,12,0,690.575,1
27,48,1,0,1,1,1,0,0,12,0,690.073,2
28,50,1,0,1,1,1,,0,12,0,717.012,3
29,48,1,0,1,1,1,0,0,12,0,726.543,4
,48,1,0,1,1,1,0,0,12,0,725.912,5
31,46,0,0,1,1,1,0,0,12,0,725.488,6
32,46,1,0,1,1,1,0,0,12,0,740.001,7
15,45,0,0,1,1,1,0,0,17,0,680.239,1
16,45,0,0,1,1,1,0,0,17,0,680.239,2
17,45,0,0,1,1,1,0,0,17,0,692.56,3
18,44,0,0,1,1,,0,0,17,0,700.307,4
19,44,0,0,1,1,1,0,0,17,0,713.09,5
20,,0,0,1,1,1,0,0,17,,712.448,6
21,44,0,0,1,1,1,0,0,17,0,712.287,7
9,50,0,0,0,0,0,1,0,14,0,594.017,1
10,46,0,0,0,0,0,1,0,14,0,586.079,2
11,48,0,0,0,0,0,1,0,14,0,599.894,3
12,46,0,0,0,0,0,1,0,14,0,608.45,4
13,48,0,0,0,0,0,1,0,14,0,639.526,5
14,41,0,,0,0,0,1,0,14,0,647.697,6
15,48,0,0,0,0,0,1,0,14,0,647.697,7
16,50,1,0,1,1,0,1,0,12,1,597.889,1
17,50,1,0,1,1,0,1,0,12,1,578.383,2
18,48,1,0,1,1,0,1,0,12,1,585.793,3
19,48,1,0,1,1,0,1,0,12,1,595.324,4
20,50,1,0,1,1,0,,0,12,1,614.633,5
21,50,1,0,1,1,0,1,0,12,1,617.587,6
22,49,1,0,1,1,0,1,0,12,1,638.856,7
,49,0,1,0,0,1,0,0,14,0,662.007,1
17,48,0,1,0,0,1,0,0,14,0,649.224,2
18,49,0,1,0,0,1,0,0,14,0,677.992,3
19,50,0,1,0,0,1,0,0,14,0,674.524,4
20,51,0,1,0,0,1,0,0,14,0,709.008,5
21,46,0,1,0,0,1,0,0,14,0,713.09,6
22,47,0,1,0,0,1,0,0,14,0,713.09,7
25,47,0,1,1,1,1,0,0,16,0,690.575,1
26,46,0,1,1,1,1,0,0,16,0,690.575,2
27,47,0,1,1,1,1,0,0,16,0,760.09,3
28,47,0,1,1,1,1,0,0,16,0,764.969,4
29,47,0,1,1,1,1,0,0,16,0,771.869,5
30,48,0,1,1,1,1,0,0,16,0,778.322,6
31,47,0,1,1,1,1,0,0,16,0,780.384,7
40,37,1,1,0,1,1,0,1,12,0,638.688,1
41,49,1,1,0,1,1,0,1,12,0,647.389,2
42,50,1,1,0,1,1,0,1,12,0,654.247,3
43,47,1,1,0,1,1,0,1,12,0,667.582,4
44,47,1,1,0,1,1,0,1,12,0,674.17,5
45,25,1,1,0,1,1,0,1,12,0,683.195,6
46,40,1,1,0,1,1,0,1,12,0,693.634,7
25,50,0,0,0,0,1,0,0,16,0,678.333,1
26,49,0,1,0,0,1,0,0,16,0,685.751,2
27,49,0,1,0,0,1,0,0,16,0,698.472,3
28,48,0,1,0,0,1,0,0,16,0,705.79,4
29,48,0,1,0,0,1,0,0,16,0,720.564,5
30,49,0,1,0,0,1,0,0,16,0,710.988,6
31,48,0,1,0,0,1,0,0,16,0,726.683,7
28,42,1,,1,0,1,0,1,4,0,605.912,1
29,46,1,1,1,0,1,0,1,4,0,605.209,2
30,49,1,1,1,0,1,0,1,4,0,599.146,3
31,49,1,1,1,0,1,0,1,4,0,621.461,4
32,48,1,0,1,0,1,0,1,4,0,632.436,5
33,45,1,0,1,0,1,0,1,,0,644.254,6
,42,1,1,1,0,1,0,1,4,0,644.254,7
20,46,0,0,0,0,1,0,0,14,0,659.987,1
21,45,0,0,0,0,1,0,0,14,0,659.987,2
22,44,0,0,0,0,1,0,0,14,0,668.461,3
23,46,0,0,0,0,1,0,0,14,0,672.743,4
24,47,0,0,0,0,1,0,0,14,0,688.244,5
25,51,0,1,0,0,1,0,0,14,0,695.655,6
26,47,0,0,0,0,1,0,0,14,0,704.752,7
11,50,0,0,0,1,1,0,0,16,0,690.575,1
12,50,0,0,0,1,1,0,0,16,0,690.575,2
13,51,0,0,0,1,1,0,0,16,0,749.554,3
14,50,0,0,0,1,1,0,0,16,0,766.153,4
15,48,0,0,0,1,1,0,0,16,0,786.327,5
16,47,0,0,0,1,1,0,0,16,0,803.916,6
17,50,0,0,0,1,1,0,0,16,0,789.357,7
5,30,0,0,0,0,0,1,0,12,0,543.808,1
6,51,0,0,0,0,0,1,0,12,0,552.146,2
7,51,1,0,0,0,0,1,0,12,0,557.973,3
8,52,1,0,0,0,0,1,0,12,0,566.988,4
9,49,1,0,0,0,0,1,0,12,0,573.657,5
10,51,1,0,0,0,0,1,1,12,0,584.354,6
11,50,1,0,0,0,0,1,0,12,0,585.793,7
8,37,0,0,0,1,1,0,1,17,0,652.942,1
9,39,0,0,0,1,1,0,1,17,0,657.925,2
10,40,0,0,0,1,1,0,1,17,0,671.538,3
11,38,0,0,0,1,1,0,1,17,0,668.461,4
12,38,0,0,0,1,1,0,1,17,0,679.122,5
13,39,0,0,0,1,1,0,1,17,0,697.541,6
14,41,0,0,0,1,1,0,1,17,0,690.776,7
14,48,0,1,1,1,1,0,0,15,0,647.697,1
15,47,1,1,1,1,1,0,0,15,0,655.108,2
16,49,0,1,1,1,1,0,0,15,0,686.693,3
17,48,0,1,1,1,1,0,0,15,0,685.646,4
18,47,0,,1,1,1,0,,15,0,727.932,5
19,47,0,1,1,1,1,0,0,15,0,754.961,6
20,48,0,1,1,1,1,0,0,15,0,736.708,7
8,50,0,0,0,1,0,0,0,16,0,601.616,1
9,52,0,0,0,1,0,0,0,16,0,690.575,2
10,48,0,0,0,0,0,0,0,16,0,704.752,3
11,50,0,0,0,0,0,0,0,16,0,726.193,4
12,50,0,0,0,0,0,0,0,16,0,709.008,5
13,45,0,0,0,0,0,0,0,16,0,696.319,6
14,23,0,0,0,0,0,0,0,16,0,731.322,7
26,50,1,0,0,1,1,0,0,12,0,673.34,1
27,50,1,0,0,1,1,0,0,12,0,669.703,2
28,50,1,0,0,1,1,,0,12,0,668.461,3
29,50,1,0,0,1,1,0,0,12,0,674.524,4
30,50,1,0,0,1,1,0,0,12,0,673.102,5
31,,1,0,0,1,1,0,0,12,0,680.239,6
32,49,1,0,0,1,1,0,0,12,0,674.524,7
31,49,0,0,0,1,1,0,0,14,0,690.575,1
32,49,0,0,0,1,1,0,0,14,0,690.575,2
33,49,0,0,0,1,1,0,0,14,0,706.219,3
34,49,0,0,0,1,1,0,0,14,0,757.558,4
35,50,0,0,0,1,1,0,0,14,0,767.322,5
36,49,0,0,0,1,1,0,0,14,0,747.307,6
37,49,0,0,0,1,1,0,0,14,0,756.008,7
17,47,0,0,1,1,0,1,0,12,0,619.644,1
18,47,0,0,1,1,0,1,0,12,0,629.895,2
19,48,0,0,1,1,0,1,0,12,0,633.15,3
20,49,0,0,1,1,0,1,0,12,0,636.303,4
21,49,0,0,1,1,0,1,0,12,0,648.158,5
22,45,0,0,1,1,0,1,0,12,0,657.786,6
23,49,0,0,1,1,0,1,0,12,0,664.379,7
22,48,0,1,0,1,1,0,0,17,0,690.575,1
23,48,0,1,0,1,1,0,0,17,0,690.575,2
24,48,0,1,0,1,1,0,0,17,0,731.322,3
25,47,0,1,0,1,1,0,0,17,0,724.423,4
26,43,0,1,0,1,1,0,0,17,0,748.437,5
27,47,0,0,0,1,1,0,0,17,0,754.961,6
28,45,0,1,0,1,1,0,0,17,0,761.332,7
30,50,0,1,0,1,1,0,0,16,0,690.575,1
31,49,0,1,0,1,1,0,0,16,0,690.575,2
32,49,0,1,0,1,1,0,0,16,0,746.737,3
33,48,0,1,0,1,1,0,0,16,0,740.853,4
34,49,0,1,0,1,1,0,0,16,0,760.589,5
35,47,0,1,0,1,1,0,0,16,0,804.879,6
36,47,0,1,0,1,1,0,0,16,0,774.066,7
14,51,0,0,0,1,1,0,0,16,0,690.575,1
15,47,0,0,0,1,1,0,0,16,0,690.575,2
16,51,0,0,0,1,1,0,0,16,0,717.012,3
17,47,0,0,0,1,1,0,0,16,0,727.932,4
18,48,0,0,0,1,1,0,0,16,0,724.065,5
19,50,0,0,0,1,1,0,0,16,0,737.776,6
20,49,0,0,0,1,1,0,0,16,0,746.737,7
45,48,1,0,1,0,1,0,0,8,0,575.89,1
46,48,1,0,1,0,1,0,0,8,0,586.079,2
47,48,1,0,1,0,1,0,0,8,0,582.305,3
48,49,1,0,1,0,1,0,0,8,0,594.803,4
49,50,1,0,1,0,1,0,0,8,0,624.804,5
50,48,1,0,1,0,1,0,0,8,0,620.658,6
51,46,1,0,1,0,1,0,0,8,0,598.394,7
8,30,1,0,0,1,1,0,1,13,1,651.471,1
9,49,1,1,0,1,1,0,1,13,1,661.07,2
10,48,1,1,0,1,1,0,1,13,1,639.693,3
11,49,1,1,0,1,1,0,1,13,1,675.227,4
12,34,1,1,0,1,1,0,1,13,1,688.653,5
13,48,1,1,0,1,1,0,1,13,1,701.212,6
14,45,1,1,0,1,1,0,1,13,1,702.554,7
15,52,1,0,1,1,1,0,0,10,0,662.007,1
16,47,0,0,1,1,1,0,0,10,0,677.422,2
17,50,0,0,1,0,1,0,0,10,0,713.09,3
18,50,0,0,1,0,1,0,0,10,0,708.841,4
19,48,0,0,1,1,1,0,0,10,0,713.09,5
20,50,0,0,1,1,1,0,0,10,0,690.776,6
21,41,0,0,1,1,1,0,0,10,0,718.007,7
12,52,0,0,0,1,1,0,0,14,0,690.575,1
13,47,0,0,0,1,1,0,0,14,0,674.17,2
14,50,0,0,0,1,1,0,0,14,0,700.307,3
15,49,0,0,0,1,1,0,0,14,0,713.09,4
16,50,0,0,0,1,1,0,0,14,0,714.283,5
17,48,0,0,0,1,1,0,0,14,,728.276,6
18,49,,0,0,1,0,0,0,14,0,740.914,7
10,48,1,1,0,0,1,0,1,12,0,605.209,1
11,49,1,1,0,0,1,0,1,12,0,605.209,2
12,,1,1,0,0,1,0,1,12,0,605.209,3
13,48,1,1,0,0,1,0,1,12,0,636.819,4
14,49,1,1,0,0,1,0,1,12,0,643.615,5
15,48,0,1,0,0,1,,1,12,0,654.965,6
16,49,1,1,0,0,1,0,1,12,0,652.209,7
6,47,0,0,0,1,1,0,0,13,0,647.697,1
7,51,0,0,0,1,0,0,0,13,0,658.617,2
8,48,0,0,0,1,0,0,0,13,0,647.697,3
9,50,0,0,0,1,0,0,0,13,0,652.942,4
10,50,0,0,0,1,0,0,0,13,0,680.239,5
11,52,0,0,,1,0,0,0,13,0,677.992,6
12,51,0,0,0,1,1,0,0,,0,680.793,7
30,47,0,0,1,0,1,0,1,8,0,635.784,1
31,39,0,0,1,0,1,0,1,8,0,649.979,2
32,32,0,0,1,0,1,0,1,8,0,658.203,3
33,35,0,0,1,0,1,0,1,8,0,669.456,4
34,47,0,0,1,0,1,0,1,8,0,678.784,5
35,45,0,0,1,0,1,0,1,8,0,690.776,6
36,47,0,0,1,0,1,0,1,8,0,735.819,7
20,50,0,0,1,1,1,0,0,16,0,690.575,1
21,50,0,0,1,1,1,0,0,16,0,690.575,2
22,50,0,0,1,1,1,0,0,16,0,737.776,3
23,50,0,0,1,1,1,0,0,16,0,749.109,4
24,50,0,0,1,1,1,0,0,16,0,757.558,5
25,48,0,0,1,1,1,0,0,16,0,752.833,6
26,47,0,0,1,1,1,0,0,16,0,774.5,7
30,38,1,1,0,1,0,1,1,12,1,621.86,1
31,41,1,0,0,1,0,1,1,12,1,649.375,2
32,51,1,0,0,1,0,1,1,12,1,658.064,3
33,50,1,1,0,1,0,1,1,12,1,668.96,4
34,42,1,1,0,1,0,1,1,12,1,679.347,5
35,50,1,1,0,1,0,1,1,12,1,692.461,6
36,49,1,1,0,1,0,1,1,12,1,702.554,7
5,49,0,0,0,1,1,0,0,16,0,668.461,1
6,47,0,0,0,1,1,0,0,16,0,684.375,2
7,48,0,0,0,1,1,0,0,16,0,690.776,3
8,49,0,0,0,1,1,0,0,16,0,700.307,4
9,46,0,0,0,1,1,0,0,16,0,713.09,5
10,45,0,0,0,1,1,0,0,16,0,740.853,6
11,49,0,0,0,1,1,0,0,16,0,743.838,7
7,48,0,1,0,1,1,0,0,17,0,690.575,1
8,48,0,1,0,1,1,0,0,17,0,690.575,2
9,48,0,1,0,1,1,0,0,17,0,720.786,3
10,47,0,1,0,1,1,0,0,17,0,731.322,4
11,46,0,1,0,1,1,0,0,17,0,743.838,5
12,46,0,1,0,1,1,0,0,17,0,749.332,6
13,46,0,1,0,1,1,0,0,17,0,760.09,7
13,49,0,0,0,1,0,1,0,13,0,622.456,1
14,50,0,0,0,1,0,1,0,13,0,633.328,2
15,50,0,0,0,1,0,1,0,13,0,630.992,3
16,50,0,0,0,1,0,1,0,13,0,647.697,4
17,50,0,0,0,1,0,1,0,13,0,663.332,5
18,50,0,0,0,1,0,1,0,13,0,668.211,6
19,49,0,0,0,1,0,1,0,13,0,665.286,7
6,42,1,0,0,0,1,0,1,12,0,612.687,1
7,44,1,0,0,0,1,0,1,12,0,623.245,2
8,48,1,0,0,0,1,0,1,12,0,632.615,3
9,47,1,0,0,0,1,0,1,12,0,632.436,4
10,48,1,0,0,0,1,0,1,12,0,646.77,5
11,47,0,0,0,0,1,0,1,12,0,660.665,6
12,47,1,0,0,0,1,0,1,12,0,655.108,7
26,48,0,0,0,1,1,0,0,14,0,690.575,1
27,49,0,0,0,1,1,0,0,14,0,690.575,2
28,48,0,0,0,1,1,0,0,14,0,704.752,3
29,48,0,0,0,1,1,0,0,14,0,709.008,4
30,48,0,0,0,1,1,0,,14,0,720.786,5
31,47,0,0,0,1,1,0,0,14,0,711.802,6
32,48,0,0,0,1,1,0,0,14,0,709.008,7
26,50,0,1,0,1,0,0,0,16,0,690.575,1
27,50,0,1,0,1,0,0,0,16,0,690.575,2
28,,0,1,0,1,0,0,0,16,0,713.09,3
29,50,0,1,0,1,0,0,0,16,0,722.621,4
30,48,0,1,0,1,1,0,0,16,0,713.09,5
31,41,0,1,0,1,1,0,0,16,0,731.322,6
32,49,0,1,0,1,0,,0,16,0,743.838,7
31,47,0,1,0,0,1,0,0,16,0,690.575,1
32,46,0,1,0,0,1,0,0,16,0,690.575,2
33,47,0,1,0,0,1,0,0,16,0,760.09,3
34,48,0,1,0,0,1,0,0,16,0,767.601,4
35,47,0,1,0,0,1,0,0,16,0,770.21,5
36,49,,1,0,0,1,0,0,16,0,769.621,6
37,48,0,1,0,0,1,0,0,16,0,782.084,7
31,50,0,0,0,1,0,1,1,,0,627.099,1
32,45,0,0,0,1,0,1,1,,0,639.859,2
33,43,0,0,0,1,0,1,1,12,0,648.311,3
34,48,0,0,0,1,0,1,1,12,0,655.678,4
35,46,0,0,0,1,0,1,1,12,0,665.544,5
36,32,0,0,0,1,0,1,1,12,0,674.876,6
37,28,0,0,0,1,0,1,1,12,0,684.907,7
31,45,0,1,0,1,1,0,0,17,0,690.575,1
32,48,0,1,0,1,1,0,0,17,0,690.575,2
33,48,0,1,0,1,1,0,0,17,0,760.09,3
34,47,0,0,0,1,1,0,0,17,0,764.969,4
35,48,0,1,0,1,1,0,0,17,0,782.405,5
36,47,0,1,0,1,1,0,0,17,0,786.327,6
37,44,0,1,0,1,1,0,0,17,0,791.936,7
25,46,0,0,0,1,1,0,0,16,0,690.575,1
26,49,0,0,0,1,1,0,0,16,0,690.575,2
27,49,0,0,0,1,1,0,0,16,0,724.423,3
28,48,0,0,0,1,1,0,0,16,0,713.09,4
29,48,0,0,0,1,1,0,0,16,0,746.737,5
30,48,0,0,0,1,1,0,0,16,0,760.09,6
31,49,0,0,0,1,1,0,1,16,0,764.969,7
13,47,0,0,1,0,1,0,0,13,0,643.615,1
14,49,0,0,1,0,1,0,0,13,0,690.575,2
15,48,1,0,0,0,1,0,0,13,0,695.655,3
16,49,1,0,0,0,1,0,0,13,0,695.655,4
17,48,0,0,0,0,1,0,0,13,0,706.048,5
18,47,1,0,0,0,1,0,0,13,0,720.786,6
19,48,0,0,0,0,1,0,0,13,0,720.786,7
13,47,1,1,0,0,1,0,1,11,0,651.175,1
14,52,1,1,0,0,1,0,1,11,0,659.03,2
15,51,1,1,0,0,1,0,1,11,0,668.461,3
16,51,1,1,0,0,1,0,1,11,0,674.524,4
17,49,1,1,0,0,1,0,1,11,0,689.77,5
18,49,1,1,0,0,1,0,1,11,0,707.75,6
19,50,1,1,0,0,1,0,1,11,0,710.003,7
32,49,1,1,0,1,1,0,1,8,0,665.415,1
33,49,1,1,0,1,1,0,1,8,0,685.013,2
34,49,1,1,0,1,1,0,1,8,0,685.646,3
35,47,1,1,0,1,1,0,1,8,0,692.363,4
36,48,1,1,0,1,1,0,1,8,0,704.141,5
37,47,1,1,0,1,1,0,1,8,0,713.33,6
38,46,1,1,0,1,1,0,1,8,0,720.786,7
23,51,1,1,1,0,1,0,0,12,0,610.925,1
24,49,1,1,1,0,1,0,0,12,0,616.331,2
25,52,1,1,1,0,1,0,0,12,0,633.328,3
26,52,1,1,1,0,1,0,0,12,0,633.328,4
27,48,1,1,1,0,1,0,0,12,0,643.775,5
28,50,1,1,1,0,1,0,0,12,0,658.617,6
29,50,1,1,1,0,1,0,0,12,0,653.379,7
21,47,1,0,1,1,1,0,0,11,0,604.025,1
22,49,1,0,1,1,1,0,0,11,0,628.972,2
23,49,1,0,1,1,1,0,0,11,0,601.616,3
24,49,0,0,1,1,1,0,0,11,0,657.786,4
25,47,0,0,1,1,1,0,0,11,0,655.108,5
26,48,0,0,1,1,1,0,0,11,0,653.233,6
27,48,0,0,1,1,1,0,0,11,0,631.355,7
37,49,1,1,0,1,1,0,1,14,0,655.108,1
38,48,1,1,0,1,1,0,1,14,0,668.461,2
39,40,1,1,0,1,1,0,1,14,0,669.703,3
40,48,1,1,0,1,1,0,0,14,0,690.776,4
41,48,1,1,0,1,1,0,1,14,0,700.307,5
42,48,1,1,0,1,1,0,1,14,0,716.24,6
43,48,1,1,0,1,1,0,0,14,0,713.09,7
26,48,0,1,0,1,1,0,0,17,0,690.575,1
27,49,0,1,0,1,1,0,0,17,0,690.575,2
28,48,0,1,0,1,1,0,0,17,0,734.601,3
29,47,0,1,0,1,1,0,0,17,0,743.838,4
30,46,0,1,0,1,1,0,0,17,0,748.156,5
31,48,0,1,0,1,1,0,0,17,0,760.09,6
32,46,0,1,0,1,1,0,0,17,0,764.969,7
18,46,0,0,0,1,0,1,1,11,1,597.635,1
19,39,0,0,0,1,0,1,1,11,1,604.025,2
